,title,address.label,distance,access,position.lat,position.lng,address.postalCode,id
61,De Habitat,"De Habitat, Shree Vihar, Chandrasekharpur, Bhubaneswar 751031, India",2524,"[{'lat': 20.33611, 'lng': 85.82883}]",20.336,85.82886,751031,here:pds:place:356cpf7c-81cc7c4bbfee055d564be3c43915c9ab
62,Sneharaj Apartments,"Sneharaj Apartments, Sailashree Vihar-Defence Colony, Chandrasekharpur, Bhubaneswar 751021, India",2549,"[{'lat': 20.33559, 'lng': 85.80166}]",20.33586,85.80152,751021,here:pds:place:356tgt58-c8e7e693b1dbeca3efc391e4d795971c
63,6th Avenue,"6th Avenue, Shree Vihar, Chandrasekharpur, Bhubaneswar 751031, India",2571,"[{'lat': 20.33544, 'lng': 85.82885}]",20.33545,85.82879,751031,here:pds:place:356tgt59-212370b57dbb48cdae91f618c9b8d005
64,Maruti Residency Apartment,"Maruti Residency Apartment, Raghunathpur Jali, Bhubaneswar 752054, India",2580,"[{'lat': 20.37559, 'lng': 85.82629}]",20.37552,85.82643,752054,here:pds:place:356tgt5c-c6df8a6b3b4017a6fab93586db891a28
65,Rainy Residency,"Rainy Residency, Nandankanan Road, Raghunathpur Jali, Bhubaneswar 752054, India",2643,"[{'lat': 20.37338, 'lng': 85.83112}]",20.37338,85.83111,752054,here:pds:place:356tgt5c-838b5c78f9ec461986262749d4b0f3be
66,Royal Courtyard,"Royal Courtyard, Nandankanan Road, Raghunathpur Jali, Bhubaneswar 752054, India",2655,"[{'lat': 20.37332, 'lng': 85.83115}]",20.37338,85.83129,752054,here:pds:place:356tgt5c-2914b3affbc8bf6509eb3d65ff23fb2e
67,Sakhi Enclave,"Sakhi Enclave, Niladri Vihar, Chandrasekharpur, Bhubaneswar 751016, India",2714,"[{'lat': 20.33055, 'lng': 85.81498}]",20.33039,85.81504,751016,here:pds:place:356tgt58-6b1e3e3cffcfcb099021108464bb7720
68,"Satyabhama House, Vim-80","Satyabhama House, Vim-80, Service Road, Sailashree Vihar, Chandrasekharpur, Bhubaneswar 751021, India",2719,"[{'lat': 20.33184, 'lng': 85.8063}]",20.33183,85.80636,751021,here:pds:place:356tgt58-ee335c1b5390e25ab6594379bbe51b0b
69,Bhramara Enclave,"Bhramara Enclave, Damana-Varsha Village, Chandrasekharpur, Bhubaneswar 751016, India",2791,"[{'lat': 20.3327, 'lng': 85.82782}]",20.33265,85.82789,751016,here:pds:place:356tgt59-c96616472f878208a1acbd896856f651
70,Lifestyle Galaxia,"Lifestyle Galaxia, Niladri Vihar-Sector 1, Chandrasekharpur, Bhubaneswar 751021, India",2794,"[{'lat': 20.32976, 'lng': 85.81296}]",20.32978,85.81283,751021,here:pds:place:356tgt58-c2c88a937e73d3cb0e4ff6944544d7d4
71,Paras Villa,"Paras Villa, Mancheswar 752054, India",2837,"[{'lat': 20.3796, 'lng': 85.82192}]",20.3796,85.82169,752054,here:pds:place:356tgt5b-ca86f3a436e6c2b92fe6875bd7e7c287
72,Bishnu Residency,"Bishnu Residency, Patia Station Road, Injana, Bhubaneswar 751024, India",2958,"[{'lat': 20.34882, 'lng': 85.84296}]",20.34897,85.84298,751024,here:pds:place:356tgt5c-2ac0bbb30bb91786c3904127e858f66a
73,Sradhanjali Residency,"Sradhanjali Residency, Injana, Bhubaneswar 751024, India",3001,"[{'lat': 20.34706, 'lng': 85.84276}]",20.34706,85.84288,751024,here:pds:place:356tgt5c-7dce5da505fe12dd3a15810414b94350
74,Skyline Kamalini Tower,"Skyline Kamalini Tower, Nandankanan Road, Raghunathpur Jali, Bhubaneswar 752054, India",3012,"[{'lat': 20.37931, 'lng': 85.82648}]",20.37964,85.82682,752054,here:pds:place:356tgt5c-7f97ed7cb22368b7fba13776224fffc9
75,Aarovy,"Aarovy, Aurabindo Nagar, Chandrasekharpur, Bhubaneswar 751016, India",3023,"[{'lat': 20.32864, 'lng': 85.82324}]",20.32866,85.82325,751016,here:pds:place:356tgt58-b8e9cbf11bea6883f812a5d83acf1ea2
76,Sai Samarpan Enclave,"Sai Samarpan Enclave, Pokharan Village, Chandrasekharpur, Bhubaneswar 751016, India",3115,"[{'lat': 20.32909, 'lng': 85.82788}]",20.32923,85.82751,751016,here:pds:place:356tgt59-60a4f4b0cbc6dd459621846017b3c724
77,Subhalaxmi Palace,"Subhalaxmi Palace, Injana, Bhubaneswar 751024, India",3165,"[{'lat': 20.34698, 'lng': 85.8445}]",20.34675,85.84442,751024,here:pds:place:356tgt5c-1c0843c3fa6bea3dc448a1891d09d290
78,Lingaraj Homes,"Lingaraj Homes, Niladri Vihar-Ga Block, Chandrasekharpur, Bhubaneswar 751021, India",3192,"[{'lat': 20.32636, 'lng': 85.81103}]",20.32635,85.81122,751021,here:pds:place:356tgt58-a7de5cf738d52f7551203fcc6450bffd
79,Ashok's,"Ashok's, Aurabindo Nagar, Chandrasekharpur, Bhubaneswar 751016, India",3216,"[{'lat': 20.32675, 'lng': 85.82342}]",20.3269,85.82342,751016,here:pds:place:356tgt58-1b16fdd530096442a5bd3bb8df3dd605
80,Neeraj Apartment,"Neeraj Apartment, Niladri Vihar-Ga Block, Chandrasekharpur, Bhubaneswar 751021, India",3224,"[{'lat': 20.32628, 'lng': 85.80917}]",20.32638,85.80919,751021,here:pds:place:356tgt58-e710ed270890e1493b307ae7a76765b6
81,Sahoo Apartment,"Sahoo Apartment, Niladri Vihar-Sector 5, Chandrasekharpur, Bhubaneswar 751021, India",3224,"[{'lat': 20.32874, 'lng': 85.80182}]",20.32874,85.80174,751021,here:pds:place:356tgt58-4906851f27da699e9d90dca46ac5379d
82,Netaji Subhas Enclave,"Netaji Subhas Enclave, Gadakana, Bhubaneswar 751017, India",3316,"[{'lat': 20.32882, 'lng': 85.83068}]",20.32883,85.83094,751017,here:pds:place:356tgt59-b37c7bff52dab5dc7cbd109072b5cae8
83,Aadya Palace- An Apartment Project Of Mega Builders And Developers,"Aadya Palace- An Apartment Project Of Mega Builders And Developers, Chandrasekharpur, Bhubaneswar 751016, India",3556,"[{'lat': 20.3243, 'lng': 85.82591}]",20.32436,85.82575,751016,here:pds:place:356tgt59-a315b89c6b093687572bee4b0110cb6c
84,Ris Champalok Apartment,"Ris Champalok Apartment, Prachi Enclave, Chandrasekharpur, Bhubaneswar 751016, India",3607,"[{'lat': 20.32234, 'lng': 85.81315}]",20.32243,85.81299,751016,here:pds:place:356tgt58-5a9cc08f3d088c1c9ed2e3210cd70c0b
85,Hill View Apartments,"Hill View Apartments, Niladri Vihar-Defence Colony, Chandrasekharpur, Bhubaneswar 751021, India",3732,"[{'lat': 20.32416, 'lng': 85.80081}]",20.32406,85.80093,751021,here:pds:place:356tgt58-3f409e820698efb38eda970dbed71239
86,Ahalya Palace Residencce,"Ahalya Palace Residencce, Mancheswar, Bhubaneswar 751017, India",3770,"[{'lat': 20.32638, 'lng': 85.83507}]",20.32638,85.83502,751017,here:pds:place:356tgt59-b08d2de308eba5ff9c2c9aecbf12d5d1
87,Shaktived Apartment,"Shaktived Apartment, Niladri Vihar-Defence Colony, Chandrasekharpur, Bhubaneswar 751021, India",3788,"[{'lat': 20.32358, 'lng': 85.80054}]",20.32367,85.80055,751021,here:pds:place:356tgt58-bcf8b8889a1aecd220d3b7f9e5a38b0a
88,Dhpl Sahoo Residency,"Dhpl Sahoo Residency, Gadakana, Bhubaneswar 751017, India",3885,"[{'lat': 20.32933, 'lng': 85.84069}]",20.32928,85.84075,751017,here:pds:place:356tgt59-3dd27762428667d739aa77ab2da95b7a
89,Sharath Chandra Apartments,"Sharath Chandra Apartments, Rangamatia, Mancheswar, Bhubaneswar 751017, India",4154,"[{'lat': 20.3267, 'lng': 85.84144}]",20.32661,85.84144,751017,here:pds:place:356tgt59-8c451015b55f7ddefdc487680cd5693e
90,Oditech Lagoon Apartment,"Oditech Lagoon Apartment, B D A Colony Road, Nalco Nagar-Phase 2, Chandrasekharpur, Bhubaneswar 751023, India",4164,"[{'lat': 20.31749, 'lng': 85.81565}]",20.31735,85.81565,751023,here:pds:place:356tgt58-dc6a5e9bdd790e7fe55c33499801af2e
91,Harshapriya Enclave,"Harshapriya Enclave, Rangamatia, Mancheswar, Bhubaneswar 751017, India",4175,"[{'lat': 20.32572, 'lng': 85.84062}]",20.3257,85.84061,751017,here:pds:place:356tgt59-b1a377ee4361f6e4fb219cb0c49b1159
92,Somnath Enclave,"Somnath Enclave, Rangamatia, Mancheswar, Bhubaneswar 751017, India",4189,"[{'lat': 20.32658, 'lng': 85.842}]",20.32672,85.84208,751017,here:pds:place:356tgt59-3d3df9eeb10bd82b2be7dd987c4d692f
93,Aparti Enclave,"Aparti Enclave, Rangamatia, Mancheswar, Bhubaneswar 751017, India",4233,"[{'lat': 20.32514, 'lng': 85.84058}]",20.32509,85.84069,751017,here:pds:place:356tgt59-ff0fd352ebdf659289c18e0b874ac701
94,Jagannath Apartment,"Jagannath Apartment, Rangamatia, Mancheswar, Bhubaneswar 751017, India",4319,"[{'lat': 20.32672, 'lng': 85.84358}]",20.32666,85.84385,751017,here:pds:place:356tgt59-77514c05a67138a57c33c926c582c865
95,Lifestyle Orchid Apartments,"Lifestyle Orchid Apartments, Chandaka Road, Chandaka, Bhubaneswar 752054, India",4727,"[{'lat': 20.3474, 'lng': 85.76961}]",20.34785,85.77057,752054,here:pds:place:356tgsgz-6b4a1a077b6a24dcf7152b582b7b18b9
96,Sunny Citadel Apartment,"Sunny Citadel Apartment, Gajapati Nagar, Bhubaneswar 751005, India",4998,"[{'lat': 20.31191, 'lng': 85.8291}]",20.31174,85.82904,751005,here:pds:place:356tgt59-6d3404adb76d9087ab1368b375f44c49
97,Shri Jagannath Plaza,"Shri Jagannath Plaza, Gajapati Nagar, Bhubaneswar 751005, India",5002,"[{'lat': 20.31184, 'lng': 85.82935}]",20.31178,85.82933,751005,here:pds:place:356tgt59-1186d2ae5b7f168105782a79a19ef304
98,Ahalya Plaza Apartment,"Ahalya Plaza Apartment, Upper Dhirkuti Sahi, Mancheswar, Bhubaneswar 751017, India",5267,"[{'lat': 20.31683, 'lng': 85.84544}]",20.31679,85.84544,751017,here:pds:place:356tgt59-282c998d5a8c696eb4c0c09084e288ed
99,Efficiency Apartment,"Efficiency Apartment, Gajapati Nagar, Bhubaneswar 751005, India",5336,"[{'lat': 20.30847, 'lng': 85.82937}]",20.30866,85.82937,751005,here:pds:place:356tgt59-487deaf9f63d6ae820e337ad6d67a68c
