,title,id,language,ontologyId,resultType,access,distance,categories,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.subdistrict,address.postalCode,position.lat,position.lng,address.street,references
57,Z1 Apartments,here:pds:place:356tgt5c-9ff4b47d36a3d6d837b23fbd0b1c9f66,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.36699, 'lng': 85.83449}]",2417,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Z1 Apartments, Raghunathpur Jali, Bhubaneswar 752054, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Raghunathpur Jali,,752054,20.36701,85.83448,,
58,Mm Lilabati Complex,here:pds:place:356tgt5c-d4b6ab4d5ddc0679f41e263fd480df83,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.36354, 'lng': 85.83741}]",2500,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Mm Lilabati Complex, Nandan Vihar, Kalarahanga, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Kalarahanga,Nandan Vihar,751024,20.36336,85.83748,,
59,C S S Homes,here:pds:place:356tgt5c-d3f80ccf0a3582af39abdc0b9312a386,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.37037, 'lng': 85.83281}]",2510,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","C S S Homes, Raghunathpur Jali, Bhubaneswar 752054, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Raghunathpur Jali,,752054,20.37029,85.83282,,
60,Shri Vihar,here:pds:place:356tgt59-28073c164b17684dc5af55674ad95583,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.33727, 'lng': 85.83036}]",2511,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Shri Vihar, Shree Vihar, Chandrasekharpur, Bhubaneswar 751031, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,Shree Vihar,751031,20.33725,85.83046,,
61,De Habitat,here:pds:place:356cpf7c-81cc7c4bbfee055d564be3c43915c9ab,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.33611, 'lng': 85.82883}]",2524,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '700-7250-0136', 'name': 'Business Facility'}]","De Habitat, Shree Vihar, Chandrasekharpur, Bhubaneswar 751031, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,Shree Vihar,751031,20.336,85.82886,,"[{'supplier': {'id': 'core'}, 'id': '1227726859'}]"
62,Sneharaj Apartments,here:pds:place:356tgt58-c8e7e693b1dbeca3efc391e4d795971c,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.33559, 'lng': 85.80166}]",2549,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Sneharaj Apartments, Sailashree Vihar-Defence Colony, Chandrasekharpur, Bhubaneswar 751021, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,Sailashree Vihar-Defence Colony,751021,20.33586,85.80152,,
63,6th Avenue,here:pds:place:356tgt59-212370b57dbb48cdae91f618c9b8d005,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.33544, 'lng': 85.82885}]",2571,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","6th Avenue, Shree Vihar, Chandrasekharpur, Bhubaneswar 751031, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,Shree Vihar,751031,20.33545,85.82879,,
64,Maruti Residency Apartment,here:pds:place:356tgt5c-c6df8a6b3b4017a6fab93586db891a28,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.37559, 'lng': 85.82629}]",2580,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Maruti Residency Apartment, Raghunathpur Jali, Bhubaneswar 752054, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Raghunathpur Jali,,752054,20.37552,85.82643,,
65,Rainy Residency,here:pds:place:356tgt5c-838b5c78f9ec461986262749d4b0f3be,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.37338, 'lng': 85.83112}]",2643,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Rainy Residency, Nandankanan Road, Raghunathpur Jali, Bhubaneswar 752054, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Raghunathpur Jali,,752054,20.37338,85.83111,Nandankanan Road,
66,Royal Courtyard,here:pds:place:356tgt5c-2914b3affbc8bf6509eb3d65ff23fb2e,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.37332, 'lng': 85.83115}]",2655,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Royal Courtyard, Nandankanan Road, Raghunathpur Jali, Bhubaneswar 752054, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Raghunathpur Jali,,752054,20.37338,85.83129,Nandankanan Road,
67,Sakhi Enclave,here:pds:place:356tgt58-6b1e3e3cffcfcb099021108464bb7720,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.33055, 'lng': 85.81498}]",2714,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Sakhi Enclave, Niladri Vihar, Chandrasekharpur, Bhubaneswar 751016, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,Niladri Vihar,751016,20.33039,85.81504,,
68,"Satyabhama House, Vim-80",here:pds:place:356tgt58-ee335c1b5390e25ab6594379bbe51b0b,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.33184, 'lng': 85.8063}]",2719,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Satyabhama House, Vim-80, Service Road, Sailashree Vihar, Chandrasekharpur, Bhubaneswar 751021, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,Sailashree Vihar,751021,20.33183,85.80636,Service Road,
69,Bhramara Enclave,here:pds:place:356tgt59-c96616472f878208a1acbd896856f651,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.3327, 'lng': 85.82782}]",2791,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Bhramara Enclave, Damana-Varsha Village, Chandrasekharpur, Bhubaneswar 751016, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,Damana-Varsha Village,751016,20.33265,85.82789,,
70,Lifestyle Galaxia,here:pds:place:356tgt58-c2c88a937e73d3cb0e4ff6944544d7d4,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.32976, 'lng': 85.81296}]",2794,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","Lifestyle Galaxia, Niladri Vihar-Sector 1, Chandrasekharpur, Bhubaneswar 751021, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,Niladri Vihar-Sector 1,751021,20.32978,85.81283,,
71,Paras Villa,here:pds:place:356tgt5b-ca86f3a436e6c2b92fe6875bd7e7c287,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.3796, 'lng': 85.82192}]",2837,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Paras Villa, Mancheswar 752054, India",IND,India,OD,Odisha,Khordha,Mancheswar,,,752054,20.3796,85.82169,,
72,Bishnu Residency,here:pds:place:356tgt5c-2ac0bbb30bb91786c3904127e858f66a,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.34882, 'lng': 85.84296}]",2958,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Bishnu Residency, Patia Station Road, Injana, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Injana,,751024,20.34897,85.84298,Patia Station Road,
73,Sradhanjali Residency,here:pds:place:356tgt5c-7dce5da505fe12dd3a15810414b94350,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.34706, 'lng': 85.84276}]",3001,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Sradhanjali Residency, Injana, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Injana,,751024,20.34706,85.84288,,
74,Skyline Kamalini Tower,here:pds:place:356tgt5c-7f97ed7cb22368b7fba13776224fffc9,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.37931, 'lng': 85.82648}]",3012,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Skyline Kamalini Tower, Nandankanan Road, Raghunathpur Jali, Bhubaneswar 752054, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Raghunathpur Jali,,752054,20.37964,85.82682,Nandankanan Road,
75,Aarovy,here:pds:place:356tgt58-b8e9cbf11bea6883f812a5d83acf1ea2,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.32864, 'lng': 85.82324}]",3023,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Aarovy, Aurabindo Nagar, Chandrasekharpur, Bhubaneswar 751016, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,Aurabindo Nagar,751016,20.32866,85.82325,,
76,Sai Samarpan Enclave,here:pds:place:356tgt59-60a4f4b0cbc6dd459621846017b3c724,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.32909, 'lng': 85.82788}]",3115,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Sai Samarpan Enclave, Pokharan Village, Chandrasekharpur, Bhubaneswar 751016, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,Pokharan Village,751016,20.32923,85.82751,,
